"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.	« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.	"We now have four-month-old mice that are not diabetic when they were before," he added.
During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.	Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.	Au cours des sélections de 1976, il conseille Carter sur la politique étrangère, puis occupe le poste de conseiller en sécurité nationale (CNS) de 1977 à 1981, succédant à Henry Kissinger.	During the 1976 selections, he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.
As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.	Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979.	En tant que NSA, il assiste Carter dans la gestion diplomatique des affaires mondiales, comme les accords Camp David de 1978; la normalisation des relations entre les États-Unis et la Chine pense à la fin des années 70; la révolution iranienne, qui a mené à la crise des otages en Iran, 1979; et l'invasion soviétique en Afghanistan, 1979.	During his time in the NSA, he helped Carter diplomatically resolve international issues such as the Camp David Accords in 1978, the normalization of relations between the United States and China in the late 1970s, the Iranian revolution and its consequences such as the taking of hostages in Iran in 1979, and the invasion of Soviet forces in Afghanistan in 1979.
The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.	Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.	Le film, mettant en vedette Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.	The film, with Ryan Gosling and Emma Stone, received nominations in all major categories.
Gosling and Stone received nominations for Best Actor and Actress respectively.	Golsling et Stone ont respectivement été nominés pour le Meilleur Acteur et la Meilleure Actrice.	Gosling et Stone ont reçu des nominations pour le meilleur acteur et l'actrice respectivement.	Golsling and Stone were nominated for Best Actor and Best Actress respectively.
The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.	Parmi les autres nominations figurent celles du meilleur film, du meilleur réalisateur, de la meilleure cinématographie, des meilleurs costumes, du meilleur montage, de la meilleure musique originale, des meilleurs décors, du meilleur montage sonore, du meilleur mixage et du meilleur scénario original.	Les autres nominations comprennent la meilleure image, le réalisateur, la cinématographie, la conception de costumes, l'édition de films, la partition originale, la conception de production, l'édition sonore, le mixage sonore et le scénario original.	Other nominations include the best film, the best director, the best cinematography, the best costumes, the best editing, the best original music, the best sets, the best sound editing, the best mixing and the best original scenario.
Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.	Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont été nominées pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que tout autre studio.	Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont reçu des nominations pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que n'importe quel autre studio.	Two songs from the film, Hearing (The Fools Who Dream) and City of Stars, were nominated for the best original song. Lionsgate studio received 26 nominations — more than any other studio.
Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.	Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration faite par l'intermédiaire du secrétaire de presse, a annoncé que les troupes américaines allaient se retirer de la Syrie.	À la fin de dimanche, le président américain Donald Trump, dans une déclaration prononcée par l'intermédiaire du secrétaire à la presse, a annoncé que les troupes américaines quitteraient la Syrie.	Late Sunday, US President Donald Trump, in a statement made through the press secretary, announced that US troops would withdraw from Syria.
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.	L’annonce a été faite après que M. Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.	L'annonce a été faite après que Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.	The announcement was made after Trump had a telephone conversation with Turkish President Recep Tayyip Erdoğan.
Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.	La Turquie prendrait également en charge la garde des combattants d'ISIS capturés que, selon la déclaration, les nations européennes ont refusé de rapatrier.	La Turquie prendrait également le contrôle des combattants de l'Etat islamique capturés qui, selon la déclaration, ont refusé de rapatrier les nations européennes.	Turkey would also take over the custody of the captured ISIS fighters whom, according to the declaration, European nations refused to repatriate.
This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà très répandue, mais fournit des détails que les fossiles ne peuvent généralement pas fournir, comme la couleur et la disposition tridimensionnelle.	Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà répandue, mais fournit des détails fossiles généralement ne peuvent pas, comme la couleur et l'arrangement tridimensionnel.	This not only confirms that at least some dinosaurs had feathers, an already widespread theory, but provides details that fossils generally cannot provide, such as color and three-dimensional layout.
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.	Les scientifiques disent que le plumage de cet animal était brun châtain sur le dessus et de couleur pâle ou caroténoïde sur le dessous.	. Les scientifiques disent que le plumage de cet animal était brun châtaignier sur le dessus avec un dessous pâle ou caroténoïde.	Scientists say that the plumage of this animal was brown brown on the top and pale or carotenoid on the bottom.
The find also grants insight into the evolution of feathers in birds.	Cette découverte permet également de mieux comprendre l'évolution des plumes chez les oiseaux.	La découverte donne également un aperçu de l'évolution des plumes chez les oiseaux.	This discovery also provides a better understanding of the evolution of feathers in birds.
Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	Étant donné que les plumes de dinosaure n'ont pas une tige entièrement développée, que l'on appelle rachis, mais montrent cependant d'autres caractéristiques propres aux plumes – barbes et barbules – les chercheurs en ont déduit que le rachis était probablement un développement évolutif ultérieur à ces autres caractéristiques.	Parce que les plumes de dinosaure n'ont pas un arbre bien développé, appelé un rachis, mais ont d'autres caractéristiques de plumes — des barbes et des barbules — les chercheurs ont déduit que le rachis était probablement un développement évolutif ultérieur que ces autres caractéristiques.	Since dinosaur feathers do not have a fully developed stem, which is called rachis, but show other characteristics specific to feathers – beards and beards – researchers have concluded that rachis is probably an evolutionary development subsequent to these other characteristics.
The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin.	La structure des plumes suggère qu'elles n'ont pas été utilisées en vol, mais plutôt pour la régulation ou l'affichage de la température. Les chercheurs ont suggéré que, même si c'est la queue d'un jeune dinosaure, l'échantillon montre un plumage adulte et non pas un duvet de poussin.	The structure of the feathers suggests that they were not used in flight but rather for regulating or displaying the temperature. The researchers suggested that, even if it is the tail of a young dinosaur, the sample shows an adult plumage and not the down of a chick.
The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	Les scientifiques précisent qu'il s'agit certes de la queue d'un dinosaure juvénile, mais l'échantillon révèle un plumage appartenant à un individu adulte, et non à un jeune.	Les chercheurs ont suggéré que, même si c'est la queue d'un jeune dinosaure, l'échantillon montre un plumage adulte et non pas un duvet de poussin.	Scientists say it is the tail of a juvenile dinosaur, but the sample reveals a plumage belonging to an adult individual, not a young one.
A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.	Une voiture piégée a explosé au siège de la police à Gaziantep, en Turquie, hier matin, tuant deux officiers de police et blessant plus de vingt autres personnes.	Une voiture piégée a explosé au quartier général de la police à Gaziantep, en Turquie, hier matin, a tué deux policiers et blessé plus de vingt autres personnes.	A car bomb exploded at the police headquarters in Gaziantep, Turkey, yesterday morning, killing two police officers and wounding more than twenty others.
The governor's office said nineteen of the injured were police officers.	Le bureau du gouverneur a déclaré que dix-neuf des blessés étaient des officiers de police.	Le bureau du gouverneur a dit que 19 des blessés étaient des policiers.	The governor's office stated that nineteen of the wounded were police officers.
Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.	La police a déclaré soupçonner un militant présumé de Daesh (ÉI) comme le suspect à l'origine de cette attaque.	La police a dit qu'elle soupçonnait un militant présumé de Daech (EIIL) de la responsabilité de l'attaque.	Police reported suspecting an alleged Daesh activist (EI) as the suspect responsible for the attack.
They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.	Ils ont constaté que le Soleil fonctionnait selon les mêmes principes de base que les autres étoiles. L'activité de toutes les étoiles du système est déterminée par leur luminosité, leur rotation et rien d'autre.	Ils ont trouvé le Soleil opéré sur les mêmes principes de base que les autres étoiles: L'activité de toutes les étoiles dans le système a été trouvée pour être entraînée par leur luminosité, leur rotation, et rien d'autre.	They found that the Sun operated according to the same basic principles as the other stars. The activity of all the stars in the system is determined by their brightness, rotation and nothing else.
The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.	La luminosité et la rotation sont utilisées conjointement afin de déterminer le nombre de Rossby d'une étoile, qui est lié au flux de plasma.	La luminosité et la rotation sont utilisées ensemble pour déterminer le nombre d'étoiles Rossby, qui est lié au flux plasmatique.	Light and rotation are used jointly to determine the Rossby number of a star, which is related to the plasma flow.
The smaller the Rossby number, the less active the star with respect to magnetic reversals.	En ce qui concerne les inversions magnétiques, plus le nombre de Rossby est petit, moins l’étoile est active .	Plus le nombre de Rossby est petit, moins l'étoile est active par rapport aux inversions magnétiques.	As far as magnetic inversions are concerned, the smaller the number of Rossbys, the less active the star.
During his trip, Iwasaki ran into trouble on many occasions.	Au cours de son voyage, Iwasaki a eu des problèmes à de nombreuses occasions.	Pendant son voyage, Iwasaki a eu des ennuis à de nombreuses reprises.	During his trip, Iwasaki had problems on many occasions.
He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.	Il a été volé par des pirates, attaqué au Tibet par un chien enragé, a échappé à un mariage au Népal et a été arrêté en Inde.	Il a été volé par des pirates, attaqué au Tibet par un chien enragé, échappé au mariage au Népal et a été arrêté en Inde.	He was stolen by pirates, attacked in Tibet by a rabid dog, escaped a marriage in Nepal and was arrested in India.
The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.	La norme 802.11n fonctionne à la fois sur les fréquences 2,4 GHz et 5,0 GHz.	La norme 802.11n fonctionne sur les fréquences 2.4Ghz et 5.0Ghz.	802.11n operates on both 2.4 GHz and 5.0 GHz frequencies.
This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.	Ceci autorisera la rétro-compatibilité avec les itérations 802.11a, b et g, sous réserve que la station possède deux radios.	Cela lui permettra d'être à l'envers compatible avec 802.11a, 802.11b et 802.11g, à condition que la station de base dispose de deux radios.	This will allow retro-compatibility with 802.11a, b, and g iterations, provided the station has two radios.
The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.	Les vitesses de la norme Wi-Fi 802.11n sont sensiblement plus rapides que celles de ses prédécesseurs, avec un débit théorique maximum de 600 Mbit/s.	Les vitesses de 802,11n sont considérablement plus rapides que celles de ses prédécesseurs avec un débit théorique maximal de 600Mbit/s.	The speeds of the 802.11n Wi-Fi standard are significantly faster than those of its predecessors, with a theoretical maximum flow rate of 600 Mbit/s.
Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.	Duvall, qui est marié et a deux enfants adultes, n’a pas fait bonne impression à Miller, à qui l’histoire a été relatée.	Duvall, qui est marié avec deux enfants adultes, n'a pas laissé une grande impression sur Miller, à qui l'histoire était liée.	Duvall, who is married and has two adult children, did not make a good impression on Miller, to whom the story was related.
When asked for comment, Miller said, "Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying."	Lorsqu'on lui a demandé de commenter, Miller a déclaré : « Mike parle beaucoup pendant l'audience… Je me préparais, donc je n'ai pas vraiment entendu ce qu'il disait ».	Quand on lui a demandé de faire des commentaires, Miller a dit : « Mike parle beaucoup pendant l'audience... je me préparais donc je n'entendais pas vraiment ce qu'il disait. »	When asked to comment, Miller said, "Mike speaks a lot during the hearing...I was getting ready, so I didn't really hear what he was saying."
"We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level," Hu said.	« Nous nous efforcerons de réduire les émissions de dioxyde de carbone par unité de PIB de manière significative d'ici 2020 par rapport au niveau de 2005 », a déclaré M. Hu.	« Nous nous efforcerons de réduire les émissions de dioxyde de carbone par unité de PIB d'ici 2020 par rapport au niveau de 2005, a déclaré M. Hu.	"We will strive to reduce carbon dioxide emissions per unit of GDP significantly by 2020 compared to 2005 levels," said Hu.
He did not set a figure for the cuts, saying they will be made based on China's economic output.	Il n'a pas chiffré ces réductions, disant qu'elles seront basées sur la production économique chinoise.	Il n'a pas fixé de chiffre pour les réductions, disant qu'elles seront faites en fonction de la production économique de la Chine.	He did not quantify these reductions, saying that they will be based on Chinese economic production.
Hu encouraged developing countries "to avoid the old path of polluting first and cleaning up later."	Hu a encouragé les pays en voie de développement « à éviter l'ancienne méthode qui consistait à polluer d'abord et à nettoyer ensuite ».	Hu a encouragé les pays en développement « à éviter l'ancienne voie de la pollution d'abord et à nettoyer plus tard ».	Hu encouraged developing countries "to avoid the old method of polluting first and then cleaning up".
He added that "they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."	Il a ajouté qu’« on ne devrait cependant pas leur demander d’assumer des obligations qui dépassent leur stade de développement, leur responsabilité et leurs capacités. »	Il a ajouté qu'il ne fallait toutefois pas leur demander d'assumer des obligations qui vont au-delà de leur stade de développement, de leurs responsabilités et de leurs capacités.	He added that "they should not, however, be asked to assume obligations beyond their stage of development, responsibility and capabilities."
The Iraq Study Group presented its report at 12.00 GMT today.	Le groupe d’étude sur l’Irak a présenté son rapport aujourd’hui à 12 h GMT.	Le Groupe d'étude sur l'Iraq a présenté son rapport aujourd'hui à 12 heures GMT.	The Iraq study group presented its report today at 12.00 GMT.
It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.	Il avertit que personne ne peut garantir que toute action en Irak à ce stade mettra fin à la guerre sectaire, à la violence croissante ou au glissement vers le chaos.	Il met en garde Personne ne peut garantir que toute ligne d'action en Irak à ce stade mettra fin à la guerre sectaire, à la violence croissante ou à un glissement vers le chaos.	He warns that no one can guarantee that any action in Iraq at this stage will put an end to sectarian war, growing violence or the shift to chaos.
The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.	Le rapport s'ouvre par un appel à un débat ouvert et à la formation d'un consensus aux États-Unis sur la politique à l'égard du Moyen-Orient.	Le rapport s'ouvre par un plaidoyer en faveur d'un débat ouvert et de la formation d'un consensus aux États-Unis sur la politique à l'égard du Moyen-Orient.	The report opens with a call for an open debate and consensus-building in the United States on Middle East policy.
The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.	Le rapport est très critique envers presque tous les aspects de la politique actuelle du gouvernement à l'égard de l'Irak et plaide vivement pour un changement de direction immédiat.	Le rapport est très critique de presque tous les aspects de la politique actuelle de l'exécutif à l'égard de l'Iraq et il appelle à un changement immédiat de direction.	The report is very critical of almost all aspects of the government's current policy towards Iraq and strongly advocates for an immediate change of direction.
First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.	La première de ses 78 recommandations est qu'une nouvelle initiative diplomatique devrait être prise avant la fin de l'année pour sécuriser les frontières de l'Irak contre les interventions hostiles et afin de rétablir les relations diplomatiques avec ses voisins.	La première de ses 78 recommandations est qu'une nouvelle initiative diplomatique soit prise avant la fin de cette année pour sécuriser les frontières de l'Irak contre les interventions hostiles et pour rétablir les relations diplomatiques avec ses voisins.	The first of its 78 recommendations is that a new diplomatic initiative should be taken before the end of the year to secure Iraq's borders against hostile interventions and to restore diplomatic relations with its neighbours.
Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.	L'actuelle sénatrice et Première Dame d'Argentine Cristina Fernandez de Kirchner a annoncé sa candidature présidentielle, hier soir, à La Plata, une ville située à 50 kilomètres (31 miles) de Buenos Aires.	Le sénateur actuel et la Première Dame argentine Cristina Fernandez de Kirchner ont annoncé sa candidature présidentielle hier soir à La Plata, une ville située à 50 kilomètres de Buenos Aires.	The current senator and First Lady of Argentina Cristina Fernandez de Kirchner announced his presidential candidacy last night in La Plata, a city located 50 kilometres (31 miles) from Buenos Aires.
Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.	Mme Kirchner a annoncé son intention de se présenter à la présidence au Théâtre argentin, le même endroit où elle a commencé sa campagne 2005 pour le Sénat en tant que membre de la délégation de la province de Buenos Aires.	Mme Kirchner a annoncé son intention de se présenter à la présidence du Théâtre argentin, où elle a commencé sa campagne pour le Sénat en 2005 en tant que membre de la délégation de la province de Buenos Aires.	Ms. Kirchner announced her intention to appear as President of the Argentine Theatre, the same place where she began her 2005 Senate campaign as a member of the delegation of the province of Buenos Aires.
