"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.	"Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos", agregó.	"Currently, we have four-month-old mice who used to be diabetic and who are no longer diabetic," he added.
One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.	Zmapp, un combinado de anticuerpos, tuvo un prometedor resultado de campo al principio, pero estudios los formales demostraron que era menos beneficioso de lo que se esperaba para prevenir la muerte.	Un cocktail de anticuerpos, ZMapp, inicialmente mostró promesa en el campo, pero los estudios formales indicaron que tenía menos beneficio de lo que se buscaba para prevenir la muerte.	Zmapp, a combination of antibodies, had a promising field result at first, but formal studies showed that it was less beneficial than expected to prevent death.
In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.	En el ensayo PALM, la función de Zmapp fue de control, es decir, que los científicos lo utilizaron como base y compararon con él los otros tres tratamientos.	En el ensayo PALM, ZMapp sirvió como un control, lo que significa que los científicos lo usaron como base y compararon los otros tres tratamientos con él.	In the PALM trial, Zmapp's function was control, that is, that scientists used it as a basis and compared the other three treatments with it.
USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.	USA Gymnastics respalda la nota del Comité Olímpico de los Estados Unidos y reconoce que resulta imperioso que la familia olímpica fomente un entorno seguro para todos nuestros deportistas.	La Gimnasia de los Estados Unidos apoya la carta del Comité Olímpico de los Estados Unidos y acepta la necesidad absoluta de la familia olímpica de promover un entorno seguro para todos nuestros atletas.	USA Gymnastics supports the note from the US Olympic Committee and recognizes that it is imperative for the Olympic family to foster a safe environment for all our athletes.
We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Coincidimos con la declaración de la USOC de que los intereses de los atletas, los clubes y sus deportes, pueden ser atendidos más apropiadamente si se avanza con cambios significativos dentro de nuestra organización, en lugar del retiro de las certificaciones.	Estamos de acuerdo con la declaración de la USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden ser mejor servidos al avanzar con cambios significativos dentro de nuestra organización, en lugar de la decertificación.	We agree with the USOC statement that the interests of athletes, clubs and their sports can be served more appropriately if significant changes are made within our organization, rather than the withdrawal of certifications.
USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.	USA Gymnastics respalda a una investigación independiente que puede esclarecer de qué modo el abuso de la proporción que los sobrevivientes de Larry Nassa describieron con tanto coraje pudo haber pasado sin ser visto por tanto tiempo y acepta cualquier cambio necesario y adecuado.	La Gimnasia de EE.UU. apoya una investigación independiente que puede arrojar luz sobre cómo el abuso de la proporción descrita tan valientemente por los sobrevivientes de Larry Nassar podría haber sido indetectado durante tanto tiempo y abarca cualquier cambio necesario y apropiado.	USA Gymnastics supports an independent investigation that can clarify how the abuse of the proportion that Larry Nassa's survivors so courageously described could have passed without being seen for so long and accepts any necessary and appropriate changes.
USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.	La meta de USA Gymnastics y USOC es la misma: lograr que la gimnasia y otros deportes sean lo más seguro posible para que los atletas persigan sus sueños en un entorno protegido, positivo y potenciado.	La gimnasia estadounidense y la USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sea lo más seguro posible para que los atletas sigan sus sueños en un entorno seguro, positivo y empoderado.	The goal of USA Gymnastics and USOC is the same: to make gymnastics and other sports as safe as possible so that athletes pursue their dreams in a protected, positive and enhanced environment.
Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.	Durante los años 60, Brzezinski trabajó para John F. Kennedy en el puesto de asesor y, posteriormente, para el gobierno de Lyndon B. Johnson.	A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como su asesor y luego la administración de Lyndon B. Johnson.	During the 1960s, Brzezinski worked for John F. Kennedy in the position of adviser and later for the government of Lyndon B. Johnson.
During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.	Asesoró a Carter en materia de política exterior en las elecciones de 1976. Posteriormente, trabajó como asesor de seguridad nacional (ASN) entre 1977 y 1981, luego de Henry Kissinger.	Durante las selecciones de 1976 asesoró a Carter en política exterior, luego sirvió como Asesor de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger.	He advised Carter on foreign policy in the 1976 elections. Later, he worked as a national security adviser (ASN) between 1977 and 1981, following Henry Kissinger.
As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.	Como consejero de seguridad nacional, asistió a Carter en el manejo diplomático de asuntos internacionales, como los Acuerdos de Camp David de 1978, la normalización de las relaciones entre Estados Unidos y China a fines de la década de 1970, la Revolución iraní de 1979, la que llevó a una crisis de rehenes en Irán, y la invasión soviética en Afganistán, en 1979.	Como NSA, ayudó a Carter en la gestión diplomática de los asuntos mundiales, como los Acuerdos de Camp David, 1978; normalizar las relaciones entre Estados Unidos y China pensó a finales de la década de 1970; la Revolución iraní, que llevó a la crisis de rehenes de Irán, 1979; y la invasión soviética en Afganistán, 1979.	As a national security adviser, he assisted Carter in the diplomatic handling of international affairs, such as the 1978 Camp David Accords, the normalization of relations between the United States and China in the late 1970s, the Iranian Revolution of 1979, which led to a hostage crisis in Iran, and the Soviet invasion of Afghanistan in 1979.
The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.	El filme, protagonizado por Tyan Gosling y Emma Stone, fue nominado en todas las categorías más importantes.	La película, con Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales.	The film, starring Tyan Gosling and Emma Stone, was nominated in all the most important categories.
Gosling and Stone received nominations for Best Actor and Actress respectively.	Gosling y Stone fueron nominados como Mejor Actor y Mejor Actriz, respectivamente.	Gosling y Stone recibieron nominaciones para Mejor Actor y Actriz respectivamente.	Gosling and Stone were nominated as Best Actor and Best Actress, respectively.
The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.	Entre las demás nominaciones se encuentran Mejor película, Mejor director, Mejor cinematografía, Mejor diseño de vestuario, Mejor edición de películas, Mejor partitura original, Mejor diseño de producción, Mejor edición de sonido, Mejor mezcla de sonido y Mejor guion original.	Las otras nominaciones incluyen Mejor Imagen, Director, Cinematografía, Diseño de Trajes, Edición de Películas, Original Score, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guión Original.	Among the other nominations are Best Film, Best Director, Best Cinematography, Best Costume Design, Best Film Editing, Best Original Score, Best Production Design, Best Sound Editing, Best Sound Mixing and Best Original Screenplay.
Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.	Fueron dos las nominadas a mejor canción original: Audición (Los tontos que sueñan) y Ciudad de estrellas. El estudio Lionsgate fue nominado 26 veces, superando a cualquier otro estudio.	Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones para la mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que cualquier otro estudio.	Two were nominated for best original song: Audition (The Fools Dreaming) and City of Stars. The Lionsgate studio was nominated 26 times, surpassing any other studio.
Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.	El domingo por la noche, en un anuncio realizado mediante el secretario de prensa, el presidente de los Estados Unidos de América, Donald Trump, comunicó que las tropas estadounidenses se retirarían de Siria.	A finales del domingo, el presidente de los Estados Unidos, Donald Trump, en un comunicado emitido a través del secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria.	On Sunday night, in an announcement made through the press secretary, the President of the United States of America, Donald Trump, announced that U.S. troops would withdraw from Syria.
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.	El anuncio se hizo tras la conversación telefónica que Trump mantuvo con con el presidente de Turquía, Recep Tayyip Erdoğan.	El anuncio se hizo después de que Trump tuvo una conversación telefónica con el presidente turco Recep Tayyip Erdoğan.	The announcement was made following Trump's telephone conversation with Turkey's president Recep Tayyip Erdoğan.
Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.	Turquía asumiría, además, la vigilancia de los militantes del ISIS que fueron capturados, a quienes las naciones europeas, conforme indica el comunicado, les denegó su repatriación.	Turquía también se haría cargo de la vigilancia de los combatientes capturados por el ISIS que, según la declaración, las naciones europeas se han negado a repatriarse.	Turkey would also assume the vigilance of the ISIS militants who were captured, whom the European nations, as indicated in the statement, refused their repatriation.
This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Además de confirmar que al menos algunos dinosaurios eran plumíferos, una teoría ya generalizada, también ofrece datos específicos que los fósiles por lo general no ofrecen, como su color y su estructura tridimensional.	Esto no sólo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya extendida, sino que proporciona detalles fósiles generalmente no pueden, como el color y la disposición tridimensional.	In addition to confirming that at least some dinosaurs were feathers, an already widespread theory, it also offers specific data that fossils usually do not offer, such as their color and three-dimensional structure.
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.	Según los especialistas, este animal tiene un plumaje de color castaño en la zona superior y una tonalidad pálida o carotenoide en la parte de abajo.	Los científicos dicen que el plumaje de este animal era castaño en la parte superior con una parte inferior de color pálido o carotenoides.	According to specialists, this animal has a chestnut plumage in the upper area and a pale or carotenoid tonality in the lower part.
The find also grants insight into the evolution of feathers in birds.	Asimismo, el hallazgo permite comprender mejor la evolución de las plumas de las aves.	El hallazgo también proporciona una visión de la evolución de las plumas en las aves.	Also, the finding allows a better understanding of the evolution of the feathers of birds.
Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	Dado que el plumaje de los dinosaurios no tiene un eje bien desarrollado, denominado raquis, pero sí presenta otros rasgos de las plumas (cerdas y bárbulas), los investigadores llegaron a la conclusión de que es probable que el raquis sea el resultado de un desarrollo evolutivo posterior de estas otras características.	Debido a que las plumas de dinosaurio no tienen un pozo bien desarrollado, llamado raquis, pero sí tienen otras características de plumas — púas y púas — los investigadores indujeron que el raquis era probablemente un desarrollo evolutivo posterior que estas otras características.	Since the plumage of the dinosaurs does not have a well-developed axis, called raquis, but it does have other feather features (pigs and barbulas), the researchers concluded that the raquis is likely to be the result of a subsequent evolutionary development of these other characteristics.
The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	La estructura que presenta el plumaje sugiere que su función no estaba relacionada con el vuelo, sino que las usaban para regular la temperatura o como indicador de la misma. Los investigadores sostienen que, aunque se trata de la cola de un dinosaurio joven, la muestra analizada presenta rasgos del plumaje de un adulto y no de un polluelo.	La estructura de las plumas sugiere que no se utilizaron en vuelo, sino para la regulación o visualización de la temperatura.Los investigadores sugirieron que, a pesar de que esta es la cola de un dinosaurio joven, la muestra muestra muestra plumaje adulto y no un polluelo caído.	The structure presented by the plumage suggests that its function was not related to flight, but was used to regulate the temperature or as an indicator of it. Researchers argue that, although it is the tail of a young dinosaur, the sample analyzed presents features of the plumage of an adult and not of a chick.
The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	Las apreciaciones de los expertos fueron que, aun cuando se trata de la cola de un dinosaurio de corta edad, la muestra ilustra más el plumaje de un adulto que el de un polluelo.	Los investigadores sugirieron que, aunque esta es la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no un polluelo caído.	The experts appreciated that, even when it comes to the tail of a young dinosaur, the sample illustrates more the plumage of an adult than that of a chick.
A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.	En la mañana de ayer, en Gaziantep, Turquía, un coche bomba mató a dos oficiales de policía e hirió a más de otras veinte personas.	Un coche bomba detonó en el cuartel general de la policía en Gaziantep, Turquía, ayer por la mañana, mató a dos agentes de policía e hirió a más de otras veinte personas.	Yesterday morning, in Gaziantep, Turkey, a car bomb killed two police officers and injured more than twenty others.
The governor's office said nineteen of the injured were police officers.	Desde el gobierno informaron que diecinueve de las personas heridas eran policías.	La oficina del gobernador dijo que diecinueve de los heridos eran policías.	From the government they reported that nineteen of the injured were police.
Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.	La policía informó que el sospechoso por el ataque es un supuesto militante de Daish (ELIL).	La policía dijo que sospechan de un presunto militante del Daesh (EIIL) de la responsabilidad del ataque.	The police reported that the suspect for the attack is an alleged militant of Daish (ELIL).
They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.	Se descubrió que el sol se regía por los mismos principios básicos que otras estrellas: los únicos factores que impulsaban su actividad dentro del sistema eran su luminosidad y su rotación.	Encontraron que el Sol operaba sobre los mismos principios básicos que otras estrellas: La actividad de todas las estrellas en el sistema se encontró impulsada por su luminosidad, su rotación, y nada más.	It was discovered that the sun was governed by the same basic principles as other stars: the only factors driving its activity within the system were its brightness and rotation.
The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.	La intensidad de la luz y la rotación se combinan para calcular el número de Rossby de una estrella, vinculado al flujo de plasma.	La luminosidad y la rotación se utilizan juntos para determinar el número Rossby de una estrella, que está relacionado con el flujo plasmático.	The intensity of light and rotation are combined to calculate the Rossby number of a star, linked to plasma flow.
The smaller the Rossby number, the less active the star with respect to magnetic reversals.	A menor número de Rossby, menor es la actividad de la estrella en relación con sus inversiones magnéticas.	Cuanto más pequeño es el número Rossby, menos activa es la estrella con respecto a las reversiones magnéticas.	Less than Rossby, less is the star's activity in relation to its magnetic investments.
During his trip, Iwasaki ran into trouble on many occasions.	Iwasaki debió enfrentarse con numerosos problemas durante su viaje.	Durante su viaje, Iwasaki tuvo problemas en muchas ocasiones.	Iwasaki had to face numerous problems during his journey.
He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.	Lo asaltaron piratas, lo mordió un perro con rabia en el Tíbet, escapó del matrimonio en Nepal y lo detuvo la policía en India.	Fue robado por piratas, atacado en el Tíbet por un perro rabioso, escapó del matrimonio en Nepal y fue arrestado en la India.	He was assaulted by pirates, bitten by a dog with rage in Tibet, escaped from marriage in Nepal and arrested by police in India.
The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.	El 802.11n estándar funciona tanto en frecuencias de 2.4Ghz como 5.0Ghz.	El estándar 802.11n funciona tanto en las frecuencias 2.4Ghz como 5.0Ghz.	The standard 802.11n works on both 2.4Ghz and 5.0Ghz frequencies.
This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.	Esto hará posible su compatibilidad con versiones anteriores de 802.11a, 802.11b y 802.11g; ello en la medida en que la estación base tenga radios duales.	Esto permitirá que sea compatible con 802.11a, 802.11b y 802.11g, siempre que la estación base tenga radios duales.	This will make it possible to support previous versions of 802.11a, 802.11b and 802.11g, to the extent that the base station has dual radios.
The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.	Las velocidades del estándar 802.11n son mucho más altas que las alcanzadas por los que lo precedieron, con un rendimiento teórico máximo de 600 Mbps.	Las velocidades de 802.11n son sustancialmente más rápidas que las de sus predecesores con un rendimiento teórico máximo de 600Mbit/s.	The speeds of the 802.11n standard are much higher than those achieved before, with a maximum theoretical yield of 600 Mbps.
Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.	Duvall, que está casado y tiene dos hijos adultos, no causó una buena impresión a Miller, que fue a quien le relató la historia.	Duvall, que está casado con dos hijos adultos, no dejó una gran impresión en Miller, con quien la historia estaba relacionada.	Duvall, who is married and has two adult children, did not make a good impression to Miller, who was the one who told the story.
When asked for comment, Miller said, "Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying."	Al pedirle un comentario, Miller dijo: «Mike habla mucho durante la audiencia… Estaba preparándome, así que en verdad no pude escuchar lo que decía».	Cuando se me pidió un comentario, Miller dijo: "Mike habla mucho durante la audiencia... Me estaba preparando para no oír lo que estaba diciendo".	When asked for a comment, Miller said, "Mike talks a lot during the hearing... I was getting ready, so I really couldn't hear what he was saying."
"We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level," Hu said.	«Trabajaremos duro para reducir el nivel de dióxido de carbono emitido por unidad de PIB para el año 2020, de modo que la diferencia sea significativa en comparación con el 2005», afirmó Hu.	"Nos esforzaremos por reducir las emisiones de dióxido de carbono por unidad de PIB en un margen notable para 2020 con respecto al nivel de 2005," dijo Hu.	"We will work hard to reduce the level of carbon dioxide emitted per unit of GDP by 2020, so that the difference is significant compared to 2005," said Hu.
He did not set a figure for the cuts, saying they will be made based on China's economic output.	No mencionó una cifra para los recortes y manifestó que se harán en base a la producción económica de China.	No fijó una cifra para los recortes, diciendo que se harán sobre la base de la producción económica de China.	He did not mention a figure for the cuts and said that they will be made on the basis of China's economic production.
Hu encouraged developing countries "to avoid the old path of polluting first and cleaning up later."	Hu incentivó a los estados en vías de desarrollo a «no volver al tradicional camino de contaminar primero y hacer limpieza después».	Hu alentó a los países en desarrollo a "evitar el viejo camino de contaminar primero y limpiar después".	Hu encouraged developing states “not to return to the traditional path of first contaminating and cleaning after”.
He added that "they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."	Agregó: «Aun así, no es correcto exigirles que asuman obligaciones que sobrepasan su fase de desarrollo, su nivel de responsabilidad y sus capacidades».	Agregó que "no se les debe pedir, sin embargo, que asuman obligaciones que vayan más allá de su etapa de desarrollo, responsabilidad y capacidades".	He added: 'Even so, it is not correct to require them to assume obligations beyond their stage of development, their level of responsibility and their capacities'.
The Iraq Study Group presented its report at 12.00 GMT today.	El Grupo de Estudio de Irak elevó hoy su informe a las 12:00 GMT.	El Grupo de Estudio sobre el Iraq presentó su informe hoy a las 12.00 horas GMT.	The Iraq Study Group today raised its report to 12:00 GMT.
It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.	Advierte que nadie puede dar garantías de que alguna acción iraquí en este punto detendrá la lucha sectaria, la creciente violencia o una inclinación hacia el caos.	Advierte que nadie puede garantizar que cualquier curso de acción en Irak en este momento detendrá la guerra sectaria, la creciente violencia o un deslizamiento hacia el caos.	He warns that no one can give assurances that any Iraqi action at this point will stop sectarian struggle, growing violence, or an inclination to chaos.
The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.	El informe comienza con un llamado a debate abierto y a formar un consenso en los Estados Unidos acerca de las políticas sobre el Oriente Medio.	El informe se abre con la petición de un debate abierto y la formación de un consenso en los Estados Unidos sobre la política hacia el Oriente Medio.	The report begins with a call for open debate and consensus-building in the United States on policies on the Middle East.
The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.	El informe es sumamente crítico con prácticamente cada aspecto de la política vigente del poder ejecutivo en Irak, y apela a un cambio inmediato de dirección.	El informe es muy crítico con casi todos los aspectos de la política actual del Ejecutivo con respecto al Iraq e insta a un cambio inmediato de dirección.	The report is extremely critical of virtually every aspect of the current policy of executive power in Iraq, and calls for an immediate change of direction.
First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.	Contiene 78 recomendaciones, de las cuales la número uno es la adopción de una nueva iniciativa antes del final del año con el propósito de proteger las fronteras de Irak de operaciones hostiles y para restaurar los vínculos diplomáticos con sus vecinos.	El primero de sus 78 recomendaciones es que se tome una nueva iniciativa diplomática antes de finales de este año para asegurar las fronteras de Irak contra intervenciones hostiles y para restablecer relaciones diplomáticas con sus vecinos.	It contains 78 recommendations, of which number one is the adoption of a new initiative before the end of the year aimed at protecting Iraq's borders from hostile operations and restoring diplomatic ties with its neighbours.
Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.	Cristina Fernández de Kirchner, quien a la fecha ocupa el cargo de senadora y es la primera dama de la República Argentina, anunció anoche en La Plata, ciudad ubicada a 50 kilómetros (31 millas) de Buenos Aires, que se postulará para la presidencia.	La actual senadora y primera dama argentina Cristina Fernández de Kirchner anunció su candidatura presidencial ayer por la noche en La Plata, una ciudad a 50 kilómetros de Buenos Aires.	Cristina Fernández de Kirchner, who currently holds the position of senator and is the first lady of the Argentine Republic, announced last night in La Plata, city located 50 kilometers (31 miles) from Buenos Aires, that she will run for president.
Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.	El Teatro Argentino fue el lugar donde la señora Kirchner anunció su intención de candidatearse como presidenta; este es el mismo sitio donde inició su campaña para el senado en el año 2005, en representación de la provincia de Buenos Aires.	La Sra. Kirchner anunció su intención de postularse a la presidencia en el Teatro Argentino, el mismo lugar donde comenzó su campaña de 2005 para el Senado como miembro de la delegación de la provincia de Buenos Aires.	The Argentine Theatre was the place where Mrs. Kirchner announced her intention to become president; this is the same place where she began her campaign for the Senate in 2005, representing the province of Buenos Aires.
The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled "Bush's New Orleans Deal."	La cuestión que dio origen al debate fue la controversia en torno al presupuesto destinado al socorro y reconstrucción posteriores al huracán Katrina, medida que algunos conservadores fiscales etiquetaron en torno de broma como el «Acuerdo de Nueva Orleans de Bush».	El debate fue provocado por la controversia sobre el gasto en socorro y reconstrucción en el huracán Katrina; que algunos conservadores fiscales han etiquetado humorísticamente como "Trato de Nueva Orleans de Bush".	The issue that gave rise to the debate was the controversy over the post-Hurricane Katrina relief and reconstruction budget, a measure that some fiscal conservatives label around jokes as the "Bush New Orleans Agreement."
